"Model","Displ","Cyl","Trans","Drive","Fuel","Stnd","Class","APS","City_MPG","Hwy_MPG","Cmb_MPG","GGS","SM","Cmb_CO2","City_MPGe","Hwy_MPGe","Cmb_MPGe","Cmb_CO2e"
"ACURA ILX",2.4,4,"AMS-8","2WD","Gasoline","L3ULEV125","small car",3,24,34,28,6,"No",316,NA,NA,NA,NA
"ACURA ILX",2.4,4,"AMS-8","2WD","Gasoline","T3B125","small car",3,24,34,28,6,"No",316,NA,NA,NA,NA
"ACURA MDX",3,6,"AMS-7","4WD","Gasoline","L3ULEV125","small SUV",3,26,27,27,6,"No",333,NA,NA,NA,NA
"ACURA MDX",3,6,"AMS-7","4WD","Gasoline","T3B125","small SUV",3,26,27,27,6,"No",333,NA,NA,NA,NA
"ACURA MDX",3.5,6,"SemiAuto-9","2WD","Gasoline","L3ULEV125","small SUV",3,20,27,23,5,"No",387,NA,NA,NA,NA
"ACURA MDX",3.5,6,"SemiAuto-9","2WD","Gasoline","T3B125","small SUV",3,20,27,23,5,"No",387,NA,NA,NA,NA
"ACURA MDX",3.5,6,"SemiAuto-9","4WD","Gasoline","L3ULEV125","small SUV",3,19,26,22,4,"No",404,NA,NA,NA,NA
"ACURA MDX",3.5,6,"SemiAuto-9","4WD","Gasoline","T3B125","small SUV",3,19,26,22,4,"No",404,NA,NA,NA,NA
"ACURA MDX A-spec",3.5,6,"SemiAuto-9","4WD","Gasoline","L3ULEV125","small SUV",3,19,25,21,4,"No",415,NA,NA,NA,NA
"ACURA MDX A-spec",3.5,6,"SemiAuto-9","4WD","Gasoline","T3B125","small SUV",3,19,25,21,4,"No",415,NA,NA,NA,NA
"ACURA NSX",3.5,6,"AMS-9","4WD","Gasoline","L3ULEV125","small car",3,21,22,21,4,"No",420,NA,NA,NA,NA
"ACURA NSX",3.5,6,"AMS-9","4WD","Gasoline","T3B125","small car",3,21,22,21,4,"No",420,NA,NA,NA,NA
"ACURA RDX",2,4,"SemiAuto-10","2WD","Gasoline","L3ULEV50","small SUV",6,22,28,24,5,"No",370,NA,NA,NA,NA
"ACURA RDX",2,4,"SemiAuto-10","2WD","Gasoline","T3B50","small SUV",6,22,28,24,5,"No",370,NA,NA,NA,NA
"ACURA RDX",2,4,"SemiAuto-10","4WD","Gasoline","L3ULEV50","small SUV",6,21,27,23,5,"No",385,NA,NA,NA,NA
"ACURA RDX",2,4,"SemiAuto-10","4WD","Gasoline","T3B50","small SUV",6,21,27,23,5,"No",385,NA,NA,NA,NA
"ACURA RDX A-SPEC",2,4,"SemiAuto-10","2WD","Gasoline","L3ULEV50","small SUV",6,22,27,24,5,"No",374,NA,NA,NA,NA
"ACURA RDX A-SPEC",2,4,"SemiAuto-10","2WD","Gasoline","T3B50","small SUV",6,22,27,24,5,"No",374,NA,NA,NA,NA
"ACURA RDX A-SPEC",2,4,"SemiAuto-10","4WD","Gasoline","L3ULEV50","small SUV",6,21,26,23,5,"No",385,NA,NA,NA,NA
"ACURA RDX A-SPEC",2,4,"SemiAuto-10","4WD","Gasoline","T3B50","small SUV",6,21,26,23,5,"No",385,NA,NA,NA,NA
"ACURA RLX",3.5,6,"AMS-7","4WD","Gasoline","L3SULEV30","midsize car",7,28,29,28,6,"No",316,NA,NA,NA,NA
"ACURA RLX",3.5,6,"AMS-7","4WD","Gasoline","T3B30","midsize car",7,28,29,28,6,"No",316,NA,NA,NA,NA
"ACURA RLX",3.5,6,"SemiAuto-10","2WD","Gasoline","L3ULEV125","midsize car",3,20,29,23,5,"No",383,NA,NA,NA,NA
"ACURA RLX",3.5,6,"SemiAuto-10","2WD","Gasoline","T3B125","midsize car",3,20,29,23,5,"No",383,NA,NA,NA,NA
